make,model,badge,category,displacement_cc,year,power_hp,engine,cooling,gearbox,transmission,dry_weight_kg,seat_height_mm,fuel_capacity_l,wheelbase_mm
GAS GAS,Pampera 125,,Trial,125,1999,15,Single cylinder,Liquid,6-speed,Chain,,820,7.5,1330
GAS GAS,Pampera 125,,Trial,124,2000,15,Single cylinder,,,Chain,85,,8,1400
GAS GAS,Pampera 125,,Trial,125,2001,15,Single cylinder,,6-speed,Chain,95,,,
GAS GAS,Pampera 125,,Cross / motocross,124,2004,,Single cylinder,Liquid,6-speed,Chain,102,930,,1475
GAS GAS,Pampera 125,,Trial,123,2007,,Single cylinder,Air,5-speed,Chain,,,7.4,1350
GAS GAS,Pampera 125,,Enduro / offroad,123,2008,,Single cylinder,Air,5-speed,,,,7.4,
GAS GAS,Pampera 250,,Trial,238,2001,17,Single cylinder,,6-speed,Chain,95,825,7.5,1330
GAS GAS,Pampera 250,,Enduro / offroad,247,2002,,Single cylinder,Liquid,6-speed,Chain,,860,9,1350
GAS GAS,Pampera 250,,Cross / motocross,247,2004,,Single cylinder,Liquid,6-speed,Chain,102,930,,1475
GAS GAS,Pampera 280,,Cross / motocross,272,2004,,Single cylinder,Liquid,6-speed,Chain,103,930,,1350
GAS GAS,Pampera 280,,Trial,272,2006,,Single cylinder,Liquid,6-speed,Chain,102,930,5.98,1350
GAS GAS,Pampera 400,,Trial,398,2006,,Single cylinder,Liquid,6-speed,Chain,,920,7.57,1475
GAS GAS,Pampera 450,,Enduro / offroad,443,2008,,Single cylinder,Liquid,6-speed,Chain,,920,7.4,1450
GAS GAS,Raga Factory Replica 125,,Trial,125,2014,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1325
GAS GAS,Raga Factory Replica 250,,Trial,247,2014,,Single cylinder,Liquid,6-speed,Chain,65.5,650,2.5,1325
GAS GAS,Raga Factory Replica 280,,Trial,272,2014,,Single cylinder,Liquid,6-speed,Chain,65.5,650,2.5,1325
GAS GAS,Raga Factory Replica 300,,Trial,294,2014,,Single cylinder,Liquid,6-speed,Chain,66,650,2.4,1340
GAS GAS,SM 125,,Super motard,124,2002,36.8,Single cylinder,Liquid,6-speed,Chain,,900,9.5,1475
GAS GAS,SM 125,,Super motard,124,2004,,Single cylinder,Liquid,6-speed,Chain,100,940,9.5,1475
GAS GAS,SM 125 Halley,,Super motard,124,2009,,Single cylinder,Liquid,6-speed,,99,945,9.5,1460
GAS GAS,SM 125 Halley,,Super motard,124,2010,,Single cylinder,Liquid,6-speed,Chain,99,945,9.5,1460
GAS GAS,SM 125 Supermotard,,Super motard,124,2008,,Single cylinder,Liquid,6-speed,Chain,101,900,9.5,1475
GAS GAS,SM 250,,Super motard,249,2002,49.8,Single cylinder,Liquid,6-speed,Chain,,900,9.5,1475
GAS GAS,SM 250,,Super motard,250,2004,,Single cylinder,Liquid,6-speed,Chain,101,940,9.5,1475
GAS GAS,SM 400 FSE,,Super motard,399,2002,47,Single cylinder,Liquid,6-speed,Chain,,900,9.5,1475
GAS GAS,SM 450,,Super motard,399,2004,,Single cylinder,Liquid,6-speed,Chain,105,900,9.5,1475
GAS GAS,SM 450 Supermotard,,Super motard,449,2008,,Single cylinder,Liquid,6-speed,Chain,119,900,6.7,1465
GAS GAS,SM 450 Supermotard,,Super motard,449,2009,,Single cylinder,Liquid,6-speed,,119,900,6.7,1465
GAS GAS,SM 450 Supermotard,,Super motard,449,2010,,Single cylinder,Liquid,6-speed,Chain,119,866,7.5,1440
GAS GAS,SM 50,,Super motard,49,2004,,Single cylinder,Liquid,6-speed,Chain,93,920,,1475
GAS GAS,SM 50 Rookie,,Super motard,49,2002,,Single cylinder,Liquid,6-speed,Chain,,865,8,1340
GAS GAS,SM 515 Supermotard,,Super motard,515,2008,,Single cylinder,Liquid,6-speed,,119,900,,1465
GAS GAS,SM 515 Supermotard,,Super motard,492,2009,,Single cylinder,Liquid,6-speed,Chain,119,900,7.5,1465
GAS GAS,SM450 FSR,,Super motard,449,2007,,Single cylinder,Liquid,6-speed,Chain,119,900,6.7,1465
GAS GAS,SM450 Halley,,Super motard,449,2009,,Single cylinder,Liquid,6-speed,Chain,119,860,7.5,1440
GAS GAS,T12,,"Minibike, cross",0,2017,2,Electric,,Automatic,,30,,,
GAS GAS,T12,,"Minibike, cross",0,2018,2,Electric,,Automatic,Chain,30,,,
GAS GAS,Trialgp 125,,Trial,124,2020,,Single cylinder,Liquid,6-speed,Chain,66.5,630,2.5,1320
GAS GAS,Trialgp 250,,Trial,247,2020,,Single cylinder,Liquid,6-speed,Chain,67,630,2.5,1320
GAS GAS,Trialgp 280,,Trial,272,2020,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1320
GAS GAS,Trialgp 300,,Trial,294,2020,,Single cylinder,Liquid,6-speed,Chain,67,630,2.4,1320
GAS GAS,TX Radonne 125,,Enduro / offroad,123,2014,,Single cylinder,Air,5-speed,Chain,86,685,4,1330
GAS GAS,TX Radonne 125,,Enduro / offroad,123,2016,,Single cylinder,Air,5-speed,Chain,86,685,4,1330
GAS GAS,TX Radonne 200,,Enduro / offroad,179,2014,,Single cylinder,Air,5-speed,Chain,86,685,4,1330
GAS GAS,TX Radonne 200,,Enduro / offroad,179,2016,,Single cylinder,Air,5-speed,Chain,86,685,4,1330
GAS GAS,TXE,,Trial,0,2018,20.1,Electric,Liquid,6-speed,Chain,68,630,,1320
GAS GAS,TXE,,Trial,0,2019,20.1,Electric,Air,6-speed,Chain,69,660,,1320
GAS GAS,TXT 125,,Trial,124,2009,,Single cylinder,,6-speed,Chain,66,665,3.1,1330
GAS GAS,TXT 125 PRO,,Trial,124,2006,,Single cylinder,,6-speed,Chain,65.8,665,3.1,1330
GAS GAS,TXT 125 PRO,,Trial,124,2007,,Single cylinder,Liquid,6-speed,Chain,65.8,,3.1,1330
GAS GAS,TXT 125 PRO,,Trial,124,2008,,Single cylinder,,6-speed,,,665,3.1,1330
GAS GAS,TXT 125 PRO Racing,,Trial,124,2008,,Single cylinder,Liquid,6-speed,Chain,68,665,3.1,1330
GAS GAS,TXT 125 Racing E4,,Trial,124,2018,,Single cylinder,Liquid,6-speed,Chain,67,630,2.5,1320
GAS GAS,TXT 200 PRO,,Trial,175,2006,,Single cylinder,Liquid,6-speed,,66.2,665,3.1,1330
GAS GAS,TXT 200 PRO,,Trial,175,2008,,Single cylinder,,6-speed,Chain,,665,3.1,
GAS GAS,TXT 250 PRO,,Trial,247,2008,,Single cylinder,Liquid,6-speed,Chain,68,665,3.1,1335
GAS GAS,TXT 250 PRO,,Trial,248,2009,,Single cylinder,Liquid,6-speed,Chain,66,665,3.1,1335
GAS GAS,TXT 250 PRO,,Trial,248,2011,,Single cylinder,Liquid,6-speed,Chain,67,665,2.5,1335
GAS GAS,TXT 250 Racing E4,,Trial,247,2018,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1320
GAS GAS,TXT 280 PRO,,Trial,272,2008,,Single cylinder,Liquid,6-speed,,68,665,,1330
GAS GAS,TXT 280 PRO,,Trial,272,2009,,Single cylinder,Liquid,6-speed,Chain,67,665,,1330
GAS GAS,TXT 280 PRO,,Trial,272,2011,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT 280 PRO,,Trial,272,2012,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1340
GAS GAS,TXT 280 PRO Racing,,Trial,272,2012,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1325
GAS GAS,TXT 280 Racing E4,,Trial,272,2018,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1320
GAS GAS,TXT 300 PRO,,Trial,294,2008,,Single cylinder,Liquid,6-speed,,68,665,3.1,1330
GAS GAS,TXT 300 PRO,,Trial,294,2009,,Single cylinder,Liquid,6-speed,,68,665,,1330
GAS GAS,TXT 300 PRO,,Trial,294,2011,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT 300 PRO,,Trial,294,2012,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT 300 PRO,,Trial,294,2014,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT 300 PRO Racing,,Trial,294,2011,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT 300 PRO Racing,,Trial,294,2012,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT 300 Racing E4,,Trial,294,2018,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.4,1320
GAS GAS,TXT 300 Raga,,Trial,294,2008,,Single cylinder,Liquid,6-speed,Chain,65.5,665,3.1,1330
GAS GAS,TXT 321,,Trial,328,2001,17,Single cylinder,,6-speed,Chain,76,705,3.2,1330
GAS GAS,TXT 50 BOY,,Trial,49,2006,,Single cylinder,Liquid,6-speed,Chain,42,600,3.02,1005
GAS GAS,TXT 50 BOY,,Trial,49,2008,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT 50 BOY,,Trial,49,2009,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT 80 Cadet,,Trial,72,2008,,Single cylinder,Liquid,6-speed,Chain,57,665,3,
GAS GAS,TXT 80 Cadet,,Trial,72,2009,,Single cylinder,Liquid,6-speed,Chain,57,665,3,1300
GAS GAS,TXT 80 Rookie,,Trial,72,2006,,Single cylinder,Liquid,6-speed,Chain,64,,3,1300
GAS GAS,TXT 80 Rookie,,Trial,72,2007,,Single cylinder,Liquid,6-speed,Chain,64,,30.28,1300
GAS GAS,TXT 80 Rookie,,Trial,72,2008,,Single cylinder,Liquid,6-speed,,64,665,3,1300
GAS GAS,TXT 80 Rookie,,Trial,72,2009,,Single cylinder,Liquid,6-speed,Chain,64,665,3,1300
GAS GAS,TXT BOY,,Trial,49,2016,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT BOY 50,,Trial,49,2002,,Single cylinder,Liquid,2-speed,Chain,,,,
GAS GAS,TXT BOY 50,,Trial,49,2004,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT BOY 50 (with Power-Boost Kit),,Trial,68,2002,,Single cylinder,Liquid,2-speed,Chain,,,,
GAS GAS,TXT BOY 50 2T,,Trial,49,2010,,Single cylinder,Liquid,2-speed,Chain,42,600,3.5,1005
GAS GAS,TXT BOY 50 LC,,Trial,49,2007,,Single cylinder,Liquid,6-speed,Chain,42,600,2,1005
GAS GAS,TXT BOY 50CC,,Trial,49,2011,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT BOY 50CC,,Trial,49,2014,,Single cylinder,Liquid,2-speed,Chain,42,600,3,1005
GAS GAS,TXT Cadet,,Trial,72,2011,,Single cylinder,Liquid,6-speed,Chain,57,665,3,1300
GAS GAS,TXT Cadet,,Trial,72,2014,,Single cylinder,Liquid,6-speed,Chain,57,665,3,1300
GAS GAS,TXT E,,Trial,125,2014,,Single cylinder,,6-speed,Chain,63,650,2.5,1320
GAS GAS,TXT E12,,Trial,0,2014,,Electric,Liquid,Automatic,Chain,28.7,470,,833
GAS GAS,TXT E8,,Trial,0,2014,,Electric,Liquid,Automatic,Chain,24,385,,782
GAS GAS,TXT Econo 250,,Trial,247,2014,,Single cylinder,Liquid,6-speed,Chain,,650,2.5,1340
GAS GAS,TXT Econo 280,,Trial,272,2014,,Single cylinder,Liquid,6-speed,Chain,,650,2.5,1340
GAS GAS,TXT GP 125,,Trial,124,2017,,Single cylinder,Liquid,6-speed,Chain,66,630,2.5,1320
GAS GAS,TXT GP 125,,Trial,124,2018,,Single cylinder,Liquid,6-speed,Chain,66.5,630,2.5,1320
GAS GAS,TXT GP 125,,Trial,124,2022,,Single cylinder,Liquid,6-speed,Chain,65.3,630,2.4,1320
GAS GAS,TXT GP 250,,Trial,247,2017,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT GP 250,,Trial,247,2018,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1320
GAS GAS,TXT GP 250,,Trial,247,2022,,Single cylinder,Liquid,6-speed,Chain,67.9,630,2.4,1320
GAS GAS,TXT GP 280,,Trial,272,2017,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT GP 280,,Trial,272,2018,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1320
GAS GAS,TXT GP 280,,Trial,272,2019,,Single cylinder,Liquid,6-speed,Chain,69.5,660,3.5,1320
GAS GAS,TXT GP 280,,Trial,272,2022,,Single cylinder,Liquid,6-speed,Chain,67.9,630,2.4,1320
GAS GAS,TXT GP 300,,Trial,294,2017,,Single cylinder,Liquid,6-speed,Chain,66.5,630,2.5,1320
GAS GAS,TXT GP 300,,Trial,294,2018,,Single cylinder,Liquid,6-speed,Chain,67,630,2.5,1320
GAS GAS,TXT GP 300,,Trial,294,2022,,Single cylinder,Liquid,6-speed,Chain,67.9,630,2.4,1320
GAS GAS,TXT GP 300 Limited Edition,,Trial,294,2017,,Single cylinder,Liquid,6-speed,Chain,66.5,630,2.5,1320
GAS GAS,TXT PRO 125,,Trial,124,2004,,Single cylinder,Liquid,6-speed,Chain,69,665,3,1330
GAS GAS,TXT PRO 125,,Trial,124,2011,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1330
GAS GAS,TXT PRO 125,,Trial,124,2012,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1340
GAS GAS,TXT PRO 125,,Trial,124,2014,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT PRO 125,,Trial,124,2016,,Single cylinder,Liquid,6-speed,Chain,66,630,2.5,1320
GAS GAS,TXT PRO 125 2T,,Trial,124,2010,,Single cylinder,Liquid,6-speed,Chain,66,665,5,1340
GAS GAS,TXT PRO 200,,Trial,175,2004,,Single cylinder,Liquid,6-speed,Chain,69,665,3,1330
GAS GAS,TXT PRO 250,,Trial,247,2004,,Single cylinder,Liquid,6-speed,Chain,,665,3,1330
GAS GAS,TXT PRO 250,,Trial,247,2006,,Single cylinder,Liquid,6-speed,,66.7,665,3.1,1330
GAS GAS,TXT PRO 250,,Trial,247,2007,,Single cylinder,Liquid,6-speed,Chain,66.7,665,3.1,1330
GAS GAS,TXT PRO 250,,Trial,247,2012,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1340
GAS GAS,TXT PRO 250,,Trial,247,2014,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT PRO 250,,Trial,247,2016,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT PRO 250 2T,,Trial,247,2010,,Single cylinder,Liquid,6-speed,Chain,67,665,2.5,1335
GAS GAS,TXT PRO 280,,Trial,272,2004,,Single cylinder,Liquid,6-speed,Chain,69,665,3,1330
GAS GAS,TXT PRO 280,,Trial,272,2006,,Single cylinder,Liquid,6-speed,Chain,67.1,665,3.1,1330
GAS GAS,TXT PRO 280,,Trial,272,2007,,Single cylinder,Liquid,6-speed,Chain,67.1,665,3.1,1330
GAS GAS,TXT PRO 280,,Trial,272,2014,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1340
GAS GAS,TXT PRO 280 2T,,Trial,272,2010,,Single cylinder,Liquid,6-speed,Chain,67,665,,1330
GAS GAS,TXT PRO 300,,Trial,294,2004,,Single cylinder,Liquid,6-speed,Chain,69,665,3,
GAS GAS,TXT PRO 300,,Trial,294,2006,,Single cylinder,Liquid,,Chain,,,3.1,1330
GAS GAS,TXT PRO 300,,Trial,294,2007,,Single cylinder,Liquid,6-speed,Chain,68,,,1330
GAS GAS,TXT PRO 300,,Trial,294,2016,,Single cylinder,Liquid,6-speed,Chain,66,650,2.4,1320
GAS GAS,TXT PRO 300,,Trial,294,2017,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.4,1320
GAS GAS,TXT PRO 300 2T,,Trial,294,2010,,Single cylinder,Liquid,6-speed,Chain,67,650,2.5,1340
GAS GAS,TXT PRO 80,,Trial,79,2016,,Single cylinder,Liquid,6-speed,Chain,64,590,2.4,1300
GAS GAS,TXT PRO Racing 125,,Trial,125,2011,,Single cylinder,Liquid,6-speed,Chain,65.5,650,2.5,1340
GAS GAS,TXT PRO Racing 125,,Trial,125,2012,,Single cylinder,Liquid,6-speed,Chain,65.5,650,2.5,1325
GAS GAS,TXT PRO Raga 250,,Enduro / offroad,247,2011,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT PRO Raga 280,,Enduro / offroad,272,2011,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT PRO Raga 300,,Enduro / offroad,294,2011,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1340
GAS GAS,TXT Racing 125,,Trial,125,2014,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1325
GAS GAS,TXT Racing 125,,Trial,124,2019,,Single cylinder,Liquid,6-speed,Chain,67,630,2.5,1320
GAS GAS,TXT Racing 125,,Trial,124,2020,,Single cylinder,Liquid,6-speed,Chain,67,630,2.5,1320
GAS GAS,TXT Racing 125,,Trial,124,2021,,Single cylinder,Liquid,6-speed,Chain,67,630,2.4,1320
GAS GAS,TXT Racing 125,,Trial,124,2022,,Single cylinder,Liquid,6-speed,Chain,66.7,630,2.4,1320
GAS GAS,TXT Racing 125 E4,,Trial,124,2017,,Single cylinder,Liquid,6-speed,Chain,66,630,2.5,1320
GAS GAS,TXT Racing 250,,Trial,247,2014,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1325
GAS GAS,TXT Racing 250,,Trial,247,2019,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.5,1320
GAS GAS,TXT Racing 250,,Trial,247,2020,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.5,1320
GAS GAS,TXT Racing 250,,Trial,247,2021,,Single cylinder,Liquid,6-speed,Chain,69.4,650,2.4,1320
GAS GAS,TXT Racing 250,,Trial,247,2022,,Single cylinder,Liquid,6-speed,Chain,69.4,650,2.4,1320
GAS GAS,TXT Racing 250 E4,,Trial,247,2017,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1320
GAS GAS,TXT Racing 280,,Trial,272,2014,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.5,1325
GAS GAS,TXT Racing 280,,Trial,272,2016,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT Racing 280,,Trial,272,2019,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT Racing 280,,Trial,272,2020,,Single cylinder,Liquid,6-speed,Chain,66,650,2.5,1320
GAS GAS,TXT Racing 280,,Trial,272,2021,,Single cylinder,Liquid,6-speed,Chain,69.4,630,2.4,1320
GAS GAS,TXT Racing 280,,Trial,272,2022,,Single cylinder,Liquid,6-speed,Chain,69.4,630,2.4,1320
GAS GAS,TXT Racing 280 E4,,Trial,272,2017,,Single cylinder,Liquid,6-speed,Chain,67.5,650,2.5,1320
GAS GAS,TXT Racing 300,,Trial,294,2014,,Single cylinder,Liquid,6-speed,Chain,66.5,650,2.4,1340
GAS GAS,TXT Racing 300,,Trial,294,2019,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.4,1320
GAS GAS,TXT Racing 300,,Trial,294,2020,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.4,1320
GAS GAS,TXT Racing 300,,Trial,294,2021,,Single cylinder,Liquid,6-speed,Chain,69.4,630,2.4,1320
GAS GAS,TXT Racing 300,,Trial,294,2022,,Single cylinder,Liquid,6-speed,Chain,69.4,630,2.4,1320
GAS GAS,TXT Racing 300 E4,,Trial,294,2017,,Single cylinder,Liquid,6-speed,Chain,67.5,630,2.4,1320
GAS GAS,TXT Racing 80,,Trial,79,2016,,Single cylinder,Liquid,6-speed,Chain,64,590,2.4,1300
GAS GAS,TXT Racing 80,,Trial,79,2019,,Single cylinder,Liquid,6-speed,Chain,64,590,2.4,1300
GAS GAS,TXT Rookie,,Trial,72,2011,,Single cylinder,Liquid,6-speed,Chain,59,665,3,1300
GAS GAS,TXT Rookie,,Trial,72,2014,,Single cylinder,Liquid,6-speed,Chain,59,665,3,1300
GAS GAS,TXT Rookie 50,,Trial,49,2004,,Single cylinder,Liquid,6-speed,Chain,64,665,3,1323
GAS GAS,TXT Rookie 80 2T,,Trial,72,2010,,Single cylinder,Liquid,6-speed,Chain,59,665,3,1300
GAS GAS,Wild HP 450,,ATV,449,2010,,Single cylinder,Liquid,6-speed,,,,,
GAS GAS,XC 250,,Enduro / offroad,249,2018,,Single cylinder,Liquid,6-speed,Chain,105,960,10,1480
GAS GAS,XC 250,,Enduro / offroad,249,2019,,Single cylinder,Liquid,6-speed,Chain,105,960,9.8,1480
GAS GAS,XC 300,,Enduro / offroad,299,2018,,Single cylinder,Liquid,6-speed,Chain,105,960,10,1480
GAS GAS,XC 300,,Enduro / offroad,299,2019,,Single cylinder,Liquid,6-speed,Chain,105,960,9.8,1480
Geely,JL100,,Allround,98,2013,8.4,Single cylinder,Air,4-speed,Chain,,,12,1215
Geely,JL110-12,,Allround,106,2013,7,Single cylinder,Air,4-speed,Chain,,,5,
Geely,JL125,,Sport,98,2013,10.7,Single cylinder,,4-speed,Chain,,,,1215
Geely,JL125 Puma,,Sport,98,2013,10.7,Single cylinder,Air,4-speed,Chain,,,12,1215
Geely,JL125-H3,,Sport,98,2013,,Single cylinder,,,Chain,,,,1215
Geely,JL125T-31A,,Sport,124,2014,,Single cylinder,,4-speed,Chain,120,,,1350
Geely,JL125T-35,,Scooter,124,2016,,Single cylinder,Air,Automatic,Belt,86,,9,1270
Geely,JL125T-36,,Scooter,124,2016,7,Single cylinder,Air,Automatic,Belt,98,,5.8,1380
Geely,JL125T-49,,Scooter,124,2016,7.5,Single cylinder,Air,Automatic,Belt,95,,,1203
Geely,JL150-9,,Sport,98,2013,12.1,Single cylinder,Air,4-speed,Chain,,,,1215
Geely,JL150T-36,,Sport,149,2014,8.1,Single cylinder,Air,4-speed,Chain,,,5.8,1215
Geely,JL150T-36,,Scooter,150,2016,8.1,Single cylinder,Air,Automatic,Belt,100,,5.8,1380
Geely,JL150T-40,,Sport,149,2014,9.4,Single cylinder,Air,4-speed,Chain,,,12,1550
Geely,JL150T-40,,Scooter,149,2016,9.4,Single cylinder,Air,Automatic,Belt,151,,12,1550
Geely,JL150T-43,,Sport,149,2014,7.9,Single cylinder,Air,4-speed,Chain,140,,10.5,1570
Geely,JL150T-43,,Scooter,149,2016,7.9,Single cylinder,Air,Automatic,Belt,140,,10.5,1570
Geely,JL150T-50A,,Scooter,149,2016,7.8,Single cylinder,Air,Automatic,Belt,100,,5.3,1268
Geely,JL150T-50B,,Scooter,149,2016,7.8,Single cylinder,,Automatic,Belt,102,,5.3,1268
Geely,JL200-2,,Naked bike,199,2016,14.8,Single cylinder,Air,,,135,,,1340
Geely,JL250-2C,,Custom / cruiser,250,2013,,Twin,Air,,Chain,,,,1460
Geely,JL250T-6,,Scooter,244,2016,14.8,Single cylinder,,Automatic,Belt,126,,8,1415
Geely,JL250T-8,,Scooter,256,2016,18.8,Single cylinder,Liquid,Automatic,Belt,180,,12,1630
Geely,JL300T-8,,Scooter,275,2016,21.5,Single cylinder,Liquid,Automatic,Belt,180,,12,1630
Geely,JL50QT-13B,,Scooter,49,2016,3.2,Single cylinder,Air,Automatic,Belt,,,5,1250
Geely,JL50QT-13D,,Scooter,49,2016,3.2,Single cylinder,Air,Automatic,Belt,,,,
Geely,JL50QT-20A,,Scooter,49,2016,3.2,Single cylinder,Air,Automatic,Belt,,,,
Geely,JL70,,Allround,71,2013,4.4,Single cylinder,Air,4-speed,Chain,,,,
Geely,JM500,,Custom / cruiser,458,2020,35.5,Twin,Liquid,,Chain,190,,19,1545
Genata,CR 125,,Allround,125,2016,9.7,Single cylinder,,5-speed,Chain,,,3.79,
Genata,CZ 125,,Allround,125,2016,9.7,Single cylinder,,5-speed,Chain,,,3.79,
Genata,Regalia 125,,Sport,125,2018,9.4,Single cylinder,,5-speed,Chain,,,,
Genata,Regalia 125,,Sport,125,2020,9.4,Single cylinder,Air,5-speed,Chain,,,,
Genata,XRN,,Naked bike,125,2016,11.4,Single cylinder,,5-speed,Chain,,,3.79,
Genata,XRZ,,Sport,125,2016,11.4,Single cylinder,,5-speed,Chain,,,,
Genata,XRZ,,Sport,125,2021,11.4,Single cylinder,,5-speed,Chain,,,,
Generic,Code S 125,,Sport,124,2012,11,Single cylinder,Air,5-speed,Chain,,,16,1330
Generic,Code S 150,,Sport,148,2012,11.7,Single cylinder,Air,5-speed,Chain,117,,16,1330
Generic,Code S 200,,Sport,198,2012,,Single cylinder,,5-speed,,,,16,
Generic,Code X 125,,Allround,124,2012,11,Single cylinder,Air,5-speed,,,,16,1330
Generic,Code X 150,,Allround,148,2012,11.7,Single cylinder,Air,5-speed,Chain,116,,16,1330
Generic,Code X 200,,Allround,198,2012,,Single cylinder,,5-speed,Chain,,,16,1330
Generic,Cracker 50,,Scooter,49,2011,3.4,Single cylinder,,Automatic,Belt,88,,5.2,1275
Generic,Epico 50,,Scooter,49,2010,3.4,Single cylinder,,Automatic,Belt,84,,,1300
Generic,Epico Electric,,Scooter,0,2012,2.7,Electric,,Automatic,Belt,84,,,1226
Generic,Ideo 50,,Scooter,49,2006,3.4,Single cylinder,Air,Automatic,,,,4.2,1275
Generic,Ideo 50,,Scooter,49,2007,3.4,Single cylinder,Air,Automatic,,,,4.2,1275
Generic,Ideo 50,,Scooter,49,2008,2.5,Single cylinder,,Automatic,Belt,100,,21.95,1300
Generic,Ideo 50,,Scooter,49,2009,2.5,Single cylinder,,Automatic,Belt,100,,5.8,1300
Generic,Ideo 50,,Scooter,49,2010,2.5,Single cylinder,,Automatic,Belt,100,,5.8,1300
Generic,Inox 125,,Scooter,124,2012,8.7,Single cylinder,Air,5-speed,Chain,,,5.3,1300
Generic,Jump 50,,Scooter,49,2012,3.2,Single cylinder,Air,Automatic,Belt,86,,5.5,1280
Generic,Mini Trigger SM,,"Minibike, cross",49,2008,5,Single cylinder,,,Chain,53.2,,15.14,1022
Generic,Mini Trigger SM,,"Minibike, cross",49,2009,5,Single cylinder,Liquid,,Chain,53.2,,15.14,1022
Generic,Mini Trigger X,,"Minibike, cross",49,2008,,Single cylinder,,,,53.2,,15.14,1022
Generic,Mini Trigger X,,"Minibike, cross",49,2009,5,Single cylinder,,Automatic,Chain,53.2,,15.14,1022
Generic,Onyx 50,,Scooter,49,2010,2.6,Single cylinder,,Automatic,Belt,102,,5.8,1300
Generic,Race 2 50,,Scooter,49,2011,2.7,Single cylinder,,Automatic,Belt,88,,5.2,1280
Generic,Racy XOR 125,,Scooter,124,2006,7.9,Single cylinder,Air,Automatic,Belt,105,,4.2,1275
Generic,Racy XOR 50,,Scooter,49,2006,2.1,Single cylinder,Air,Automatic,,,,4.2,1275
Generic,ROC 50,,Scooter,49,2008,2.5,Single cylinder,,Automatic,Belt,,,21.95,1300
Generic,ROC 50,,Scooter,49,2009,2.5,Single cylinder,,Automatic,Belt,100,,5.8,1300
Generic,ROC 50,,Scooter,49,2010,2.5,Single cylinder,Air,Automatic,Belt,100,,,1300
Generic,Sirion 50,,Scooter,49,2012,3.9,Single cylinder,Air,Automatic,Belt,92,,5,1280
Generic,Soho 125,,Scooter,124,2006,11.9,Single cylinder,Air,Automatic,Belt,122,,,1275
Generic,Soho 125,,Scooter,124,2007,11.9,Single cylinder,Air,Automatic,Belt,122,,4.2,1275
Generic,Soho 125,,Scooter,124,2008,7.5,Single cylinder,,Automatic,Belt,130,,6,1330
